auc,mrr,ndcg@5,ndcg@10,recall@5,recall@10,recall@50,recall@100,recall@200,diversity@50,diversity@100,novelty@50,novelty@100,user_id,history_len
0.5125628140703518,0.01020408163265306,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.016666666666666666,0.16,0.1,0.58,0.73,364113,61
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.11,0.52,0.76,365013,27
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.76,0.88,366407,12
0.41116751269035534,0.012987012987012988,0.0,0.0,0.0,0.0,0.0,0.0425531914893617,0.06382978723404255,0.2,0.11,0.5,0.75,367419,27
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.04,0.68,0.84,370441,17
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.1,0.86,0.93,371722,7
0.8040201005025126,0.025,0.0,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.14,0.09,0.5,0.75,373598,33
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.9,0.95,373971,5
0.4824120603015075,0.009615384615384616,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.16,0.09,0.6,0.72,374121,48
0.7474747474747475,0.05263157894736842,0.0,0.0,0.0,0.0,0.020833333333333332,0.041666666666666664,0.041666666666666664,0.12,0.08,0.66,0.79,374239,22
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.09,0.94,0.97,375609,3
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.12,0.96,0.98,376104,2
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.1,0.82,0.91,376441,10
0.15577889447236182,0.005917159763313609,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.16,0.11,0.66,0.83,378743,17
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.11,0.96,0.98,379037,2
